file,num_elements,power_mean_us,tim_mean_us,atim_mean_us,apower_mean_us
TrackA/184,1033500,14794.6,14503,21604.8,22197.5
TrackA/185,1098500,16078.9,15851.5,23384.6,23355.4
TrackA/186,1033500,14871.6,14270.4,20961.3,21968.8
TrackA/187,1059500,15312.4,14766.8,22351.7,22886.8
TrackA/188,395,2.83277,1.51368,3.33101,3.10111
TrackA/189,647,2.39322,2.92035,5.96698,6.37527
TrackA/19,1025,34.5025,34.6173,40.9361,41.3738
TrackA/190,458,1.68621,1.9595,4.07744,3.77652
TrackA/191,387,1.20131,1.32606,3.03405,2.90015
TrackA/192,387,1.40354,1.40218,3.22175,3.03946
TrackA/193,387,1.3041,1.5168,3.40906,3.00526
TrackA/194,521,2.10867,2.33724,5.08569,4.47904
TrackA/195,4191,19.3591,27.5258,49.7215,38.219
TrackA/196,8415,36.5009,54.816,100.086,78.5768
TrackA/197,540639,2712.05,4004.15,7202.07,5417.13
TrackA/198,1081311,5283.76,7856.92,14281.8,10877.7
TrackA/199,1081311,5082.14,7591.61,13938.1,10667.5
TrackA/2,4,0.036832,0.032956,0.061864,0.058788
TrackA/20,1025,34.5597,34.4181,41.4043,41.3945
TrackA/200,529,2.24023,2.51818,4.90669,4.73702
TrackA/201,529,2.20217,2.5896,5.19001,4.5347
TrackA/202,519,2.06946,2.41676,4.78643,4.33459
TrackA/203,519,2.0373,2.00988,4.44903,4.45933
TrackA/204,9671,34.4295,35.1671,78.4262,77.5597
TrackA/205,998711,3094.51,3376,8136.62,7750.34
TrackA/206,3029999,9896.32,9647.78,24594.5,24267.7
TrackA/207,1350647,4479.52,4657.14,11454.7,10979.7
TrackA/208,131,0.532984,0.635856,1.26199,1.14407
TrackA/209,199,0.796684,0.982228,1.90538,1.6628
TrackA/21,1025,35.4409,37.8831,48.2962,41.0141
TrackA/210,162,3.77823,3.70801,6.05565,5.42731
TrackA/211,162,3.59757,3.62652,4.47843,4.24826
TrackA/212,162,3.52572,3.54732,4.25719,4.24469
