File,ArraySize,Repetitions,Timsort_Avg,Timsort_StdDev,Timsort_Normalized,Powersort_Avg,Powersort_StdDev,Powersort_Normalized,valid_instance
../TrackA/135,10725,1000,223.96,46.1368,0.00155968,209.428,24.8806,0.00145848,true
../TrackA/61,1000,1000,49.0997,3.13425,0.00492682,49.2482,3.10799,0.00494173,true
../TrackA/95,2065,1000,176.733,5.86479,0.00777204,179.388,6.05644,0.0078888,true
../TrackA/132,10205,1000,197.775,5.33313,0.0014553,187.441,4.30299,0.00137926,true
../TrackA/59,1000,1000,75.0728,2.09455,0.00753305,75.1755,2.34487,0.00754336,true
../TrackA/92,217,1000,5.56287,0.347753,0.00330286,5.52455,0.392048,0.00328011,true
../TrackA/66,10000,1000,519.504,9.17104,0.00390966,530.576,9.27323,0.00399298,true
../TrackA/104,1024,1000,9.15113,0.329904,0.000893665,9.8647,0.593053,0.00096335,true
../TrackA/50,704,1000,6.2432,0.35264,0.000937497,6.62609,0.667196,0.000994992,true
../TrackA/68,10000,1000,535.351,16.8114,0.00402892,557.489,38.1242,0.00419552,true
../TrackA/103,260,1000,7.12172,0.762064,0.00341436,7.30421,0.182225,0.00350185,true
../TrackA/57,1000,1000,58.2344,1.40888,0.00584343,58.3081,2.12257,0.00585083,true
../TrackA/168,1111500,1000,27024.2,1009.28,0.00121058,25683.5,2050.55,0.00115052,true
../TrackA/157,521,1000,5.9149,0.550913,0.00125793,4.73691,0.372746,0.0010074,true
../TrackA/150,1790,1000,18.1138,0.213294,0.000936489,15.1344,0.203469,0.00078245,true
../TrackA/159,258,1000,1.88896,0.0481794,0.000913912,1.91815,0.0449503,0.000928036,true
../TrackA/32,3,1000,0.045541,0.0133292,0.00957772,0.043583,0.0119159,0.00916594,true
../TrackA/166,1027000,1000,24257.3,719.011,0.00118275,22691.4,466.627,0.0011064,true
../TrackA/192,387,1000,2.92945,0.0768258,0.000880581,2.57304,0.0508737,0.000773445,true
../TrackA/35,1000002,1000,2593.11,111.538,0.000130101,2628.32,191.05,0.000131867,true
../TrackA/195,4191,1000,62.1112,2.95629,0.00123162,41.657,1.45578,0.000826025,true
../TrackA/161,521,1000,4.60975,0.0749894,0.000980361,4.23029,0.109835,0.000899659,true
../TrackA/102,2,1000,0.031537,0.020835,0.0157685,0.0313,0.018594,0.01565,true
../TrackA/69,9999,1000,956.433,83.6113,0.00719868,954.652,312.041,0.00718527,true
../TrackA/56,1497,1000,87.4338,2.13263,0.00553724,87.9442,2.5452,0.00556956,true
../TrackA/105,128,1000,6.26968,0.082446,0.00699742,6.52918,1.05153,0.00728703,true
../TrackA/51,832,1000,6.05155,0.78535,0.000749811,5.21634,0.624936,0.000646325,true
../TrackA/58,1497,1000,76.8302,1.71863,0.0048657,76.9706,1.30417,0.0048746,true
../TrackA/133,10270,1000,193.941,17.2492,0.00141708,191.433,3.95741,0.00139876,true
../TrackA/67,10000,1000,534.768,12.0213,0.00402453,545.233,9.26757,0.00410328,true
../TrackA/93,179,1000,3.43224,0.0841896,0.00256213,3.28431,0.46651,0.00245171,true
../TrackA/134,10790,1000,215.3,6.15204,0.00148936,206.348,10.1695,0.00142744,true
../TrackA/94,207,1000,5.58883,0.112359,0.00350936,5.54346,0.03256,0.00348087,true
../TrackA/60,1000,1000,75.0012,0.882622,0.00752587,78.0148,10.4431,0.00782826,true
../TrackA/34,1000001,1000,2584.04,57.3025,0.000129645,2579.28,48.867,0.000129407,true
../TrackA/160,647,1000,6.30339,0.573509,0.00104336,6.56312,0.268913,0.00108635,true
../TrackA/194,521,1000,5.02114,0.164623,0.00106785,4.60225,1.15555,0.000978765,true
../TrackA/33,10,1000,0.060837,0.0231873,0.00183138,0.056523,0.0215375,0.00170151,true
../TrackA/158,269,1000,2.71587,0.575217,0.00125085,2.37146,0.132322,0.00109222,true
../TrackA/193,387,1000,3.28376,0.0907324,0.000987085,2.70924,0.103506,0.000814386,true
../TrackA/167,1027000,1000,24181.8,619.024,0.00117907,22799.5,512.709,0.00111167,true
../TrackA/151,17900,1000,170.953,20.7575,0.00067601,137.259,9.71775,0.000542771,true
../TrackA/169,1066000,1000,24810,1161.78,0.00116231,24180.2,619.007,0.00113281,true
../TrackA/156,521,1000,5.77158,0.351643,0.00122745,4.88984,0.233009,0.00103993,true
../TrackA/216,971003,1000,8741.51,396.857,0.000452637,7324.05,276.227,0.000379241,true
../TrackA/229,250000,1000,2077.89,91.9506,0.000463516,1373.15,61.4499,0.000306309,true
../TrackA/211,162,1000,7.07088,0.400967,0.00594664,7.06814,0.135341,0.00594433,true
../TrackA/227,2500,1000,21.0057,1.17204,0.000744374,14.0288,0.29229,0.000497136,true
../TrackA/218,5000000,1000,78027.8,11100.6,0.000701264,61941,6841.44,0.000556686,true
../TrackA/220,5000000,1000,54970.1,3410.98,0.000494036,47733.2,16401.3,0.000428995,true
../TrackA/221,5000,1000,53.2781,15.3664,0.000867177,40.7231,13.426,0.000662827,true
../TrackA/226,1002000,1000,14870.8,1625.01,0.000744497,14489.8,2524.93,0.000725423,true
../TrackA/219,50000,1000,718.838,345.526,0.000921018,409.153,89.8362,0.000524232,true
../TrackA/210,162,1000,9.32061,12.4229,0.00783866,9.54286,6.10414,0.00802558,true
../TrackA/217,50000,1000,768.524,89.4252,0.000984678,656.374,351.448,0.000840986,true
../TrackA/228,2500000,1000,27032.9,8963.66,0.000508771,16659.4,5580.27,0.000313536,true
../TrackA/235,500501,1000,6447.5,3094.97,0.000680404,5728.32,2585.4,0.000604509,true
../TrackA/232,5000000,1000,50390.5,9262.49,0.000452877,39556.6,13138.2,0.000355509,true
../TrackA/204,9671,1000,84.5545,5.50076,0.000660382,124.278,120.859,0.000970625,true
../TrackA/203,519,1000,6.7978,9.1519,0.00145216,5.98663,5.16805,0.00127888,true
../TrackA/202,519,1000,7.29688,4.45186,0.00155877,6.16778,9.7079,0.00131757,true
../TrackA/205,998711,1000,11927.8,5282.25,0.000599267,8806.51,2078.01,0.000442449,true
../TrackA/233,500000,1000,5112.12,3553.17,0.000540063,3151.86,505.979,0.000332974,true
../TrackA/234,5000,1000,40.797,11.9162,0.000664029,40.9139,2.71665,0.000665933,true
../TrackA/174,1079507,1000,56462.8,7788.79,0.00260974,54074.8,4191.38,0.00249936,true
../TrackA/180,18000,1000,797.898,58.5797,0.00313586,814.607,32.101,0.00320153,true
../TrackA/20,1025,1000,75.8446,4.71815,0.00739843,75.7863,5.28933,0.00739275,true
../TrackA/187,1059500,1000,32906,4214.95,0.00155174,34047.4,2672,0.00160557,true
../TrackA/18,1025,1000,78.3005,6.23537,0.007638,79.0899,6.06901,0.007715,true
../TrackA/173,1109804,1000,61146.1,6950.12,0.00274358,61142.8,8833.38,0.00274343,true
../TrackA/27,100000,1000,10283.7,509.324,0.00619139,10429.5,454.159,0.00627918,true
../TrackA/9,1025,1000,74.6609,3.27974,0.00728296,74.4296,2.56316,0.0072604,true
../TrackA/145,10465,1000,289.014,9.79553,0.00206819,288.371,13.0098,0.00206359,true
../TrackA/11,10000,1000,955.937,28.0325,0.00719414,967.08,25.1495,0.007278,true
../TrackA/142,198,1000,1.62013,0.0609125,0.0010725,1.43586,0.0298067,0.000950514,true
../TrackA/7,0,1000,,,,,,,false
../TrackA/29,1025,1000,75.6464,4.82616,0.0073791,75.3402,6.12698,0.00734923,true
../TrackA/16,1025,1000,74.6134,4.3948,0.00727833,74.0984,3.69599,0.00722809,true
../TrackA/189,647,1000,6.48732,0.32538,0.0010738,4.9759,0.289482,0.000823628,true
../TrackA/129,10985,1000,219.632,13.2948,0.00148949,214.165,10.8193,0.00145242,true
../TrackA/42,495,1000,2.99796,0.0417528,0.000676604,2.51591,0.0335471,0.000567813,true
../TrackA/89,229,1000,5.88717,0.214201,0.00327944,5.61119,0.18009,0.0031257,true
../TrackA/116,584,1000,6.17834,0.0980855,0.0011512,6.31166,0.30609,0.00117604,true
../TrackA/45,5760,1000,43.5259,1.14883,0.00060492,38.6649,1.73433,0.000537363,true
../TrackA/111,134,1000,1.39607,0.160927,0.00147443,1.45641,0.153815,0.00153815,true
../TrackA/73,640,1000,5.42853,1.06936,0.000909906,5.63496,1.6438,0.000944507,true
../TrackA/118,324,1000,2.731,0.0622553,0.00101069,2.85679,0.048783,0.00105724,true
../TrackA/87,229,1000,7.0888,1.36519,0.0039488,6.79705,0.189441,0.00378628,true
../TrackA/127,10075,1000,206.098,9.94642,0.00153825,191.671,12.2633,0.00143057,true
../TrackA/80,10880,1000,98.4759,4.14745,0.000674982,98.0902,8.48633,0.000672338,true
../TrackA/74,6400,1000,48.6403,2.67288,0.000601086,48.831,2.46535,0.000603443,true
../TrackA/120,323,1000,2.77499,0.0521555,0.0010307,2.62875,0.0449123,0.000976383,true
../TrackA/6,52643,1000,5605.34,125.401,0.00678899,5668.68,145.843,0.00686571,true
../TrackA/28,1000,1000,67.7019,1.25423,0.00679343,67.8411,0.995411,0.0068074,true
../TrackA/143,10855,1000,228.204,5.75472,0.00156816,211.412,8.70221,0.00145277,true
../TrackA/17,1025,1000,73.091,1.3841,0.00712982,73.5304,0.981851,0.00717269,true
../TrackA/188,395,1000,3.05201,0.0462835,0.000895764,2.73796,0.125874,0.000803591,true
../TrackA/144,10660,1000,209.409,7.64226,0.0014682,206.49,9.10257,0.00144774,true
../TrackA/1,1,1000,0.025277,0.0205968,inf,0.025415,0.0204957,inf,true
../TrackA/10,1025,1000,72.2121,3.57944,0.00704409,71.0283,2.31136,0.00692862,true
../TrackA/172,3334400,1000,35274.4,2750.07,0.000488206,29172.4,1666.78,0.000403752,true
